,id,data_type,status,created_at,official,official_updated_at,external_ids,provider,feed_name,note,feed_contact_email,redirects,entity_types,feed_references,locations,source_info.producer_url,source_info.authentication_type,source_info.authentication_info_url,source_info.api_key_parameter_name,source_info.license_url
197,mdb-1555,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1555', 'source': 'mdb'}]",Washington State Ferries,,,,[],['vp'],['mdb-1331'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Skagit County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'San Juan County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Island County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Kitsap County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Snohomish County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Pierce County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Jefferson County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'King County'}]",https://api.pugetsound.onebusaway.org/api/gtfs_realtime/vehicle-positions-for-agency/95.pb,1,https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd/otd-downloads,key,https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd/transit-data-terms-use
213,mdb-1514,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1514', 'source': 'mdb'}]",Green Mountain Transit Agency,,,,[],['vp'],['mdb-629'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Chittenden County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Washington County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Lamoille County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Franklin County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Addison County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Grand Isle County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Orange County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Caledonia County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Swanton'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Alburgh'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Highgate'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Berkshire'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Richford'}]",https://api.goswift.ly/real-time/green-mountain/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
215,mdb-1688,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1688', 'source': 'mdb'}]",San Joaquin Regional Transit District (RTD),,,,[],['vp'],['mdb-886'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'San Joaquin County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Alameda County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Sacramento County'}]",https://api.goswift.ly/real-time/san-joaquin/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
219,mdb-1347,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1347', 'source': 'mdb'}]",Exo Vallée du Richelieu,,,,[],['vp'],['mdb-752'],"[{'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Montreal'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Beloeil'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Mathieu-de-Beloeil'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'McMasterville'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Julie'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Longueuil'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Basile-le-Grand'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Bruno-de-Montarville'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Mont-Saint-Hilaire'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Saint-Hyacinthe'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Otterburn Park'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Marie-Madeleine'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Sainte-Madeleine'}, {'country_code': 'CA', 'country': 'Canada', 'subdivision_name': 'Quebec', 'municipality': 'Brossard'}]",https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=CITVR,1,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces,token,https://exo.quebec/fr/a-propos/donnees-ouvertes/FormulaireDemandeAcces
220,mdb-1493,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1493', 'source': 'mdb'}]",Humboldt Transit,Redwood Transit System,,,[],['vp'],['mdb-19'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Humboldt County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Mendocino County'}]",https://api.goswift.ly/real-time/redwood/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
221,mdb-1481,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1481', 'source': 'mdb'}]",City of Banning Pass Transit System,,,,[],['vp'],['mdb-220'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Riverside County'}]",https://api.goswift.ly/real-time/banning/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
222,mdb-1591,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1591', 'source': 'mdb'}]","Haarasilta Toivo Samuli, Järvisen Liikenne Oy, Koiviston Auto Oy, Lehtimäen Liikenne Oy, Bus Travel Oy Reissu Ruoti, Tilausliikenne Kuisma Ky",Lahti,,,[],['vp'],['mdb-1129'],"[{'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Lahti'}, {'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Orimattila'}, {'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Asikkala'}, {'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Padasjoki'}, {'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Hollola'}, {'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Heinola'}, {'country_code': 'FI', 'country': 'Finland', 'subdivision_name': 'Päijät-Häme', 'municipality': 'Kärkölä'}]",https://data.waltti.fi/lahti/api/gtfsrealtime/v1.0/feed/vehicleposition,2,https://opendata.waltti.fi/getting-started,,
226,mdb-1576,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1576', 'source': 'mdb'}]",Sonoma Marin Area Rail Transit (SMART),,,,[],['vp'],['mdb-815'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Sonoma County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'California', 'municipality': 'Marin County'}]",https://api.goswift.ly/real-time/smart/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
233,mdb-1546,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1546', 'source': 'mdb'}]",City of Seattle - Streetcar,,,,[],['vp'],['mdb-1080'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'King County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Snohomish County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Pierce County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Thurston County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Kitsap County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Skagit County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'San Juan County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Island County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Washington', 'municipality': 'Jefferson County'}]",https://api.pugetsound.onebusaway.org/api/gtfs_realtime/vehicle-positions-for-agency/23.pb,1,https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd/otd-downloads,key,https://www.soundtransit.org/help-contacts/business-information/open-transit-data-otd/transit-data-terms-use
234,mdb-1680,gtfs_rt,active,2024-02-08T00:00:00Z,,,"[{'external_id': '1680', 'source': 'mdb'}]",Rural Community Transportation (RCT),,,,[],['vp'],['mdb-448'],"[{'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Caledonia County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Orleans County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Derby'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'New Hampshire', 'municipality': 'Grafton County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Lamoille County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Washington County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Essex County'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Troy'}, {'country_code': 'US', 'country': 'United States', 'subdivision_name': 'Vermont', 'municipality': 'Chittenden County'}]",https://api.goswift.ly/real-time/rct/gtfs-rt-vehicle-positions,2,https://goswift.ly/realtime-api-key,authorization,https://www.goswift.ly/api-license
